Year,Month,GEO,Product Category,Products,VALUE,Taxable,Total tax rate,Value after tax,Essential,COORDINATE,UOM,Month_num,Date
2019,January,Province 7,Toiletries & Cleaning,"Toothpaste, 100 millilitres",2.6,Yes,13.0,2.94,Essential,6.76,Dollars,1,2019-01-01
2019,January,Province 7,Toiletries & Cleaning,"Shampoo, 400 millilitres",5.3,Yes,13.0,5.99,Essential,6.77,Dollars,1,2019-01-01
2019,January,Province 7,Toiletries & Cleaning,"Laundry detergent, 4.43 litres",12.5,Yes,13.0,14.12,Essential,6.11,Dollars,1,2019-01-01
2019,January,Province 8,Meat & Poultry,"Beef stewing cuts, per kilogram",14.43,No,12.0,14.43,Essential,7.1,Dollars,1,2019-01-01
2019,January,Province 8,Meat & Poultry,"Beef striploin cuts, per kilogram",19.73,No,12.0,19.73,Essential,7.2,Dollars,1,2019-01-01
2019,January,Province 8,Meat & Poultry,"Beef top sirloin cuts, per kilogram",12.67,No,12.0,12.67,Essential,7.3,Dollars,1,2019-01-01
2019,January,Province 8,Meat & Poultry,"Beef rib cuts, per kilogram",22.81,No,12.0,22.81,Essential,7.41,Dollars,1,2019-01-01
2019,January,Province 8,Meat & Poultry,"Ground beef, per kilogram",8.49,No,12.0,8.49,Essential,7.4,Dollars,1,2019-01-01
2019,January,Province 8,Meat & Poultry,"Pork loin cuts, per kilogram",7.53,No,12.0,7.53,Essential,7.5,Dollars,1,2019-01-01
2019,January,Province 8,Meat & Poultry,"Pork rib cuts, per kilogram",7.96,No,12.0,7.96,Essential,7.6,Dollars,1,2019-01-01
2019,January,Province 8,Meat & Poultry,"Pork shoulder cuts, per kilogram",6.9,No,12.0,6.9,Essential,7.42,Dollars,1,2019-01-01
2019,January,Province 8,Meat & Poultry,"Whole chicken, per kilogram",5.96,No,12.0,5.96,Essential,7.7,Dollars,1,2019-01-01
2019,January,Province 8,Meat & Poultry,"Chicken breasts, per kilogram",11.99,No,12.0,11.99,Essential,7.8,Dollars,1,2019-01-01
2019,January,Province 8,Meat & Poultry,"Chicken thigh, per kilogram",9.42,No,12.0,9.42,Essential,7.9,Dollars,1,2019-01-01
2019,January,Province 8,Meat & Poultry,"Chicken drumsticks, per kilogram",6.56,No,12.0,6.56,Essential,7.43,Dollars,1,2019-01-01
2019,January,Province 8,Meat & Poultry,"Bacon, 500 grams",6.38,Yes,12.0,7.15,Essential,7.1,Dollars,1,2019-01-01
2019,January,Province 8,Meat & Poultry,"Wieners, 400 grams",3.34,Yes,12.0,3.74,Essential,7.11,Dollars,1,2019-01-01
2019,January,Province 8,Meat & Poultry,"Salmon, per kilogram",25.78,No,12.0,25.78,Essential,7.78,Dollars,1,2019-01-01
2019,January,Province 8,Meat & Poultry,"Shrimp, 300 grams",7.0,No,12.0,7.0,Non-Essential,7.79,Dollars,1,2019-01-01
2019,January,Province 8,Meat & Poultry,"Canned salmon, 213 grams",3.91,No,12.0,3.91,Essential,7.44,Dollars,1,2019-01-01
2019,January,Province 8,Meat & Poultry,"Canned tuna, 170 grams",1.62,No,12.0,1.62,Essential,7.12,Dollars,1,2019-01-01
2019,January,Province 8,Meat & Poultry,"Meatless burgers, 226 grams",4.24,Yes,12.0,4.75,Non-Essential,7.8,Dollars,1,2019-01-01
2019,January,Province 8,Dairy & Eggs,"Milk, 1 litre",1.67,No,12.0,1.67,Essential,7.13,Dollars,1,2019-01-01
